survey,variable,variable_name
REC91,S1008AN,
REC91,S1008BN,
REC91,S1008CN,
REC91,S1012B,
REC91,S1012BN,
REC91,S229B1,
REC91,S802H,
RE758081,V768A,
RE758081,V821A,
RE758081,V833A,
RE758081,V833B,
RE758081,V834A,
RE516171,V740,
RE223132,V211,
RE223132,V212,
RE223132,V214,
RE223132,V221,
RE223132,V222,
RE223132,V225,
RE223132,V326,
RE223132,V327,
RE223132,V395,
CSALUD01,QS29A,
CSALUD01,QS29B,
CSALUD01,QS402,
CSALUD01,QS403,
CSALUD01,QS404,
CSALUD01,QS601A,
CSALUD01,QS601B,
CSALUD01,QS603,
CSALUD01,QS606,
CSALUD01,QS607,
CSALUD01,QS608,
CSALUD01,QS609,
CSALUD01,QS610,
CSALUD01,QS611,
