survey,variable
RECH1,HHID
RECH1,HVIDX
RECH1,HV101
RECH1,HV102
RECH1,HV103
RECH1,HV104
RECH1,HV105
RECH1,HV106
RECH1,HV107
RECH1,HV108
RECH1,HV109
RECH1,HV110
RECH1,HV111
RECH1,HV112
RECH1,HV113
RECH1,HV114
RECH1,HV115
RECH1,HV116
RECH1,HV117
RECH1,HV118
RECH1,HV120
RECH1,HV121
RECH1,HV122
RECH1,HV123
RECH1,HV124
RECH1,HV125
RECH1,HV126
RECH1,HV127
RECH1,HV128
RECH1,HV129
REC0111,CASEID
REC0111,V012
REC0111,V024
REC0111,V025
REC0111,V103
REC0111,V104
REC0111,V105
REC0111,V106
REC0111,V107
REC0111,V113
REC0111,V115
REC0111,V116
REC0111,V119
REC0111,V120
REC0111,V121
REC0111,V122
REC0111,V123
REC0111,V124
REC0111,V125
REC0111,V127
REC0111,V128
REC0111,V129
REC0111,V131
REC0111,V136
REC0111,V137
REC0111,V138
REC0111,V150
REC0111,V151
REC0111,V152
REC0111,V155
REC0111,V005
REC0111,V190
REC0111,V191
REC0111,V022
REC0111,V001
REC91,CASEID
REC91,S804A
REC91,S1002C
REC91,S1002D
REC91,S1002E
REC91,S1008AN
REC91,S1008BN
REC91,S1008CN
REC91,S1012B
REC91,S1012BN
REC91,S108N
REC91,S111
REC91,S119
REC91,S229B1
REC91,S512C
REC91,S621
REC91,S704N
REC91,S802
REC91,S802D
REC91,S802E
REC91,S802F
REC91,S802H
REC91,S802I
REC91,S803AF
REC91,S803AM
REC91,S804C
REC91,S815AA
REC91,S815AB
REC91,S815AC
REC91,S815AD
REC91,S815AE
REC91,S815AX
REC91,S815AZ
REC91,S816A
REC91,S816AA
REC91,S816AB
REC91,S816AC
REC91,S816AD
REC91,S816AE
REC91,S816AF
REC91,S816AG
REC91,S816AH
REC91,S816AI
REC91,S816AJ
REC91,S816AK
REC91,S816AL
REC91,S816AW
REC91,S816AZ
REC91,S816B
REC91,S816C
REC91,S816D
REC91,S816E
REC91,S816F
REC91,S816G
REC91,S816H
REC91,S816I
REC91,S816J
REC91,S816K
REC91,S816L
REC91,S816M
REC91,S816W
REC91,S816Z
REC91,S817
REC91,SREGION
REC91,SPROVIN
REC91,S229A1
REC91,S803AG
RE758081,CASEID
RE758081,V750
RE758081,V751
RE758081,V754BP
RE758081,V754CP
RE758081,V754DP
RE758081,V754JP
RE758081,V756
RE758081,V761
RE758081,V762AA
RE758081,V762AB
RE758081,V762AC
RE758081,V762AD
RE758081,V762AE
RE758081,V762AF
RE758081,V762AG
RE758081,V762AH
RE758081,V762AI
RE758081,V762AJ
RE758081,V762AK
RE758081,V762AL
RE758081,V762AM
RE758081,V762AN
RE758081,V762AO
RE758081,V762AP
RE758081,V762AQ
RE758081,V762AR
RE758081,V762AS
RE758081,V762AT
RE758081,V762AU
RE758081,V762AV
RE758081,V762AW
RE758081,V762AX
RE758081,V762AZ
RE758081,V763A
RE758081,V763B
RE758081,V763C
RE758081,V766A
RE758081,V766B
RE758081,V767A
RE758081,V768A
RE758081,V769
RE758081,V770
RE758081,V770A
RE758081,V770B
RE758081,V770C
RE758081,V770D
RE758081,V770E
RE758081,V770F
RE758081,V770G
RE758081,V770H
RE758081,V770I
RE758081,V770J
RE758081,V770K
RE758081,V770L
RE758081,V770M
RE758081,V770N
RE758081,V770O
RE758081,V770P
RE758081,V770Q
RE758081,V770R
RE758081,V770S
RE758081,V770T
RE758081,V770U
RE758081,V770V
RE758081,V770W
RE758081,V770X
RE758081,V781
RE758081,V783
RE758081,V784A
RE758081,V784B
RE758081,V784C
RE758081,V784D
RE758081,V784E
RE758081,V784F
RE758081,V784G
RE758081,V784H
RE758081,V784I
RE758081,V784J
RE758081,V784K
RE758081,V784L
RE758081,V784M
RE758081,V784N
RE758081,V784O
RE758081,V784P
RE758081,V784Q
RE758081,V784R
RE758081,V784S
RE758081,V784T
RE758081,V784U
RE758081,V784V
RE758081,V784X
RE758081,V785
RE758081,V820
RE758081,V821A
RE758081,V826
RE758081,V827
RE758081,V828
RE758081,V830
RE758081,V831
RE758081,V833A
RE758081,V833B
RE758081,V834A
RE758081,V835A
RE758081,V836
RE516171,CASEID
RE516171,V704
RE516171,V705
RE516171,V714
RE516171,V714A
RE516171,V715
RE516171,V716
RE516171,V717
RE516171,V719
RE516171,V721
RE516171,V731
RE516171,V732
RE516171,V739
RE516171,V740
RE516171,V741
RE516171,V743A
RE516171,V743B
RE516171,V743C
RE516171,V743D
RE516171,V743E
RE516171,V743F
RE516171,V744A
RE516171,V744B
RE516171,V744C
RE516171,V744D
RE516171,V744E
RE516171,V746
RE223132,CASEID
RE223132,V201
RE223132,V206
RE223132,V207
RE223132,V208
RE223132,V209
RE223132,V210
RE223132,V211
RE223132,V212
RE223132,V213
RE223132,V214
RE223132,V218
RE223132,V219
RE223132,V221
RE223132,V222
RE223132,V225
RE223132,V228
RE223132,V312
RE223132,V313
RE223132,V326
RE223132,V327
RE223132,V384A
RE223132,V384B
RE223132,V384C
RE223132,V393
RE223132,V395
CSALUD01,HHID
CSALUD01,QSNUMERO
CSALUD01,QS29A
CSALUD01,QS29B
CSALUD01,QS402
CSALUD01,QS403
CSALUD01,QS404
CSALUD01,QS601A
CSALUD01,QS601B
CSALUD01,QS603
CSALUD01,QS606
CSALUD01,QS607
CSALUD01,QS608
CSALUD01,QS609
CSALUD01,QS610
CSALUD01,QS611
REC84DV,CASEID
REC84DV,D101A
REC84DV,D101B
REC84DV,D101C
REC84DV,D101D
REC84DV,D101E
REC84DV,D101F
REC84DV,D104
REC84DV,D106
REC84DV,D107
REC84DV,D108
REC84DV,D118Y
REC94,CASEID
REC94,S410B
REC94,S411G
REC94,S411H
REC94,S411DA
REC94,S411EA
REC94,S413
PROGRAMAS_SOCIALES,HHID
PROGRAMAS_SOCIALES,QH96
PROGRAMAS_SOCIALES,QHCLUSTER
PROGRAMAS_SOCIALES,QH95
PROGRAMAS_SOCIALES,QH106
